jsonl_file,long_yaal_nca,long_yaal_ca,bleu,chrf_pp,comet_xl
vad_pause0.1_thr0.1,2.5213073,2.9709998,21.9244358789261,48.29184063362224,0.6796676642142045
vad_pause0.1_thr0.2,2.3892694999999997,2.8029376999999998,21.184953247409393,47.80467240834872,0.6686376814658825
vad_pause0.1_thr0.3,2.3642684,2.8237853,20.25918209674946,46.93115987893922,0.6541037471232634
vad_pause0.1_thr0.5,2.3381942,2.7770070999999996,20.68443684261225,47.306821129554336,0.6543186000333383
vad_pause0.1_thr0.75,2.2543097,2.7219205,19.707050692479168,47.12358186235711,0.6489528930053498
vad_pause0.3_thr0.1,2.8695312,3.3568276999999997,23.1719581643555,49.184566323544644,0.7016383733632218
vad_pause0.3_thr0.2,2.7307098,3.1541409,23.458347915407867,49.58722854603469,0.6999223699681779
vad_pause0.3_thr0.3,2.7142865,3.1822242000000003,23.10242706847904,49.09000858070475,0.6967022603011539
vad_pause0.3_thr0.5,2.6496848,3.1327015,22.41601965313425,48.39845988570362,0.6912198175604527
vad_pause0.3_thr0.75,2.6299026,3.1094952,21.361966728152115,48.190322699016384,0.68114069596124
vad_pause0.5_thr0.1,3.0264179,3.8376137,21.720672694343623,48.174083334551945,0.701453962801104
vad_pause0.5_thr0.2,2.9536054,3.4936201999999996,23.08517982515165,48.356252396974384,0.7025882286202704
vad_pause0.5_thr0.3,2.8299469,3.3661463,22.580356718629293,48.837182679752786,0.7055082412229644
vad_pause0.5_thr0.5,2.8073972,3.3329987,23.28934803264791,48.90644932197102,0.7040017405286049
vad_pause0.5_thr0.75,2.7500529,3.2505504000000003,23.618679381737156,49.44193158787068,0.6984659892498938
vad_pause0.7_thr0.1,3.1728705,3.7423494,21.671888693089457,45.46321403623104,0.6648245936211867
vad_pause0.7_thr0.2,3.0960469,3.5453413,20.64266259485222,45.86489757227809,0.6723861275008346
vad_pause0.7_thr0.3,2.9366697,3.4928688,20.338517535952427,46.21188998605144,0.6770047377794981
vad_pause0.7_thr0.5,2.8864236,3.3885093,22.163817969609514,46.66645074621228,0.6887006139159839
vad_pause0.7_thr0.75,2.9504502,3.4853435,20.519517857327276,46.70722920386108,0.6870395637348167
vad_pause1.0_thr0.1,3.0094516,3.5578165,20.33172414510635,43.45010194629602,0.642818841446414
vad_pause1.0_thr0.2,3.1613064,3.7332261,21.183173299138826,44.66166186653499,0.6522504167519828
vad_pause1.0_thr0.3,3.1980630999999997,3.7619497,21.64349895927395,45.158699392949565,0.6529651935029234
vad_pause1.0_thr0.5,3.092259,3.6905748,22.055941626456814,45.869877849826636,0.6590160238437164
vad_pause1.0_thr0.75,3.1736478000000004,3.7403567,21.62716951239851,45.152637781009695,0.6616261994991547
