policy,run_tag,segment_idx,variant,yaal
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,40,cu,237.3297
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,40,ca,1313.1100
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,41,cu,446.0227
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,41,ca,1458.2172
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,42,cu,1733.0000
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,42,ca,3214.2378
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,43,cu,274.2500
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,43,ca,1611.3287
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,44,cu,812.8846
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,44,ca,2228.8489
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,45,cu,511.3333
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,45,ca,1803.3417
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,46,cu,803.6750
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,46,ca,1875.6429
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,47,cu,449.5000
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,47,ca,1759.4703
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,48,cu,178.0857
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,48,ca,1474.8413
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,49,cu,535.0714
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,49,ca,1655.9592
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,50,cu,1576.9870
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,50,ca,2999.7092
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,51,cu,185.4444
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,51,ca,922.6386
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,52,cu,771.2143
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,52,ca,2770.1159
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,53,cu,953.8297
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,53,ca,2403.7429
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,54,cu,636.7972
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,54,ca,1722.6394
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,55,cu,383.9722
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,55,ca,1842.7138
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,56,cu,958.2381
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,56,ca,1783.2996
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,57,cu,782.0952
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,57,ca,1769.2067
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,58,cu,823.6667
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,58,ca,2718.2755
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,59,cu,499.3000
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,59,ca,1544.1137
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,60,cu,819.8571
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,61,cu,300.1333
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,61,ca,1657.8959
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,62,cu,492.6667
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,62,ca,1061.9012
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,63,cu,512.7143
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,64,cu,832.2143
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,64,ca,2724.8720
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,65,cu,1011.6250
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,65,ca,2121.2908
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,66,cu,709.5000
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,66,ca,2047.5957
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,67,cu,806.4615
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,67,ca,2686.5634
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,68,cu,668.6667
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,68,ca,2030.1743
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,69,cu,586.1439
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,69,ca,1959.2276
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,70,cu,487.9441
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,70,ca,1996.9507
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,71,cu,546.2308
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,71,ca,1423.1156
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,72,cu,205.6484
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,72,ca,1453.5699
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,73,cu,583.8476
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,73,ca,1721.4990
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,74,cu,1834.1189
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,74,ca,2931.7007
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,75,cu,513.7596
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,75,ca,1959.9352
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,76,cu,1854.3206
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,76,ca,2835.3376
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,77,cu,271.8261
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,77,ca,1716.1132
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,78,cu,-40.9789
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,78,ca,1201.1665
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,79,cu,88.4458
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,79,ca,1477.8771
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,80,cu,428.0000
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,80,ca,1752.6924
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,81,cu,813.3377
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,81,ca,2442.2355
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,82,cu,819.8262
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,82,ca,1920.0968
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,83,cu,517.1875
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,84,cu,562.3889
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,84,ca,1738.5388
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,85,cu,781.9545
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,85,ca,1921.0796
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,86,cu,1301.5357
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,86,ca,2455.1592
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,87,cu,-4.3214
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,87,ca,742.5468
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,88,cu,606.2500
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,88,ca,2098.6004
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,89,cu,524.6957
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,89,ca,1933.9580
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,90,cu,334.4444
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,90,ca,1842.5581
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,91,cu,514.2120
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,91,ca,1805.5344
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,92,cu,189.1087
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,92,ca,1592.1848
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,93,cu,326.5385
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,93,ca,1501.3346
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,94,cu,-183.0500
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,94,ca,1267.2896
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,95,cu,-1402.1453
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,95,ca,-272.9769
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,96,cu,1205.8077
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,96,ca,1985.8185
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,97,cu,-77.9333
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,97,ca,988.5269
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,98,cu,485.9474
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,98,ca,1556.3289
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,99,cu,681.0714
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,99,ca,2375.5316
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,100,cu,341.5455
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,100,ca,1371.5817
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,101,cu,177.1600
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,101,ca,1469.6665
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,102,cu,754.7857
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,102,ca,2022.6997
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,103,cu,149.6234
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,103,ca,1384.5161
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,104,cu,1766.6061
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,104,ca,2279.1056
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,105,cu,864.5227
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,105,ca,2586.1033
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,106,cu,1050.7500
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,106,ca,1978.2320
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,107,cu,215.0000
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,107,ca,1029.0857
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,109,cu,2679.8462
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,110,cu,797.2150
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,110,ca,3490.7316
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,111,cu,353.0952
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,111,ca,1963.6505
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,112,cu,374.1083
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,112,ca,1806.1691
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,113,cu,493.5000
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,113,ca,1723.3795
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,114,cu,891.5000
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,114,ca,2586.7934
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,115,cu,752.0395
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,115,ca,2004.8834
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,116,cu,1188.7105
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,116,ca,2425.5011
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,118,cu,192.4178
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,118,ca,1770.2824
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,119,cu,572.2500
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,120,cu,1191.6884
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,120,ca,2627.5336
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,121,cu,473.8750
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,121,ca,1835.1308
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,122,cu,379.5817
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,122,ca,1466.3683
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,123,cu,1146.4966
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,123,ca,2069.5394
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,124,cu,282.9615
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,124,ca,1351.0216
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,125,cu,224.0769
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,125,ca,1494.8132
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,126,cu,876.6471
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,126,ca,2035.0432
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,127,cu,836.4250
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,127,ca,1589.6870
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,128,cu,399.0000
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,128,ca,1975.1007
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,129,cu,1072.7187
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,129,ca,3054.2866
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,130,cu,752.2000
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,131,cu,525.1681
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,131,ca,1881.6336
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,132,cu,1408.5538
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,132,ca,4533.3822
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,133,cu,792.0000
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,133,ca,2364.6818
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,134,cu,499.3125
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,134,ca,2247.2350
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,135,cu,1135.3008
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,135,ca,2349.5406
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,136,cu,834.8711
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,136,ca,2535.1767
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,137,cu,539.1468
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,137,ca,2232.3601
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,138,cu,1551.6310
